,beta0,beta1,beta2
2025-09-01,126.37362622523845,-98.71057415031555,-89.29952607025692
2025-10-01,129.9900400377789,-101.35583936726239,-95.61753170568778
2025-11-01,134.44738387209,-106.01038497830169,-123.68429196278582
2025-12-01,151.19870342306734,-123.83545466584376,-166.05755041127566
2026-01-01,178.09266107168395,-151.38663819666326,-225.95328430128262
2026-02-01,215.37835094544712,-192.1628053002525,-307.7210012358312
2026-03-01,274.53511233368005,-253.84017671953254,-407.267643983545
2026-04-01,353.05099425155225,-332.41722719505924,-537.1706657390773
2026-05-01,458.97724225883115,-440.8306870314718,-717.6708195835616
2026-06-01,619.8967688959646,-601.0630463560988,-954.0162539399503
2026-07-01,818.9759051257192,-800.969227251454,-1250.5141126495446
2026-08-01,1071.8546251324208,-1055.5199217139584,-1613.4150870735002
