Date;Maturity;Maturity (year fraction);Strike;Volatility
2019-03;1M;0,08;3,00;1,20
2019-03;2M;0,16;3,00;1,26
2019-03;3M;0,24;3,00;1,25
2019-03;6M;0,49;3,00;1,19
2019-03;9M;0,73;3,00;1,15
2019-03;1Y;1,00;3,00;1,22
2019-03;2Y;2,00;3,00;1,21
2019-03;3Y;3,00;3,00;1,05
2019-03;4Y;4,00;3,00;1,01
2019-03;5Y;5,00;3,00;0,95
2019-03;6Y;6,00;3,00;0,97
2019-03;7Y;7,00;3,00;0,92
2019-03;8Y;8,00;3,00;0,90
2019-03;9Y;9,00;3,00;0,82
2019-03;10Y;10,00;3,00;0,90
2019-03;1M;0,08;4,00;1,16
2019-03;2M;0,16;4,00;1,21
2019-03;3M;0,24;4,00;1,22
2019-03;6M;0,49;4,00;1,20
2019-03;9M;0,73;4,00;1,18
2019-03;1Y;1,00;4,00;1,25
2019-03;2Y;2,00;4,00;1,21
2019-03;3Y;3,00;4,00;1,16
2019-03;4Y;4,00;4,00;1,12
2019-03;5Y;5,00;4,00;1,10
2019-03;6Y;6,00;4,00;1,08
2019-03;7Y;7,00;4,00;1,01
2019-03;8Y;8,00;4,00;1,04
2019-03;9Y;9,00;4,00;0,90
2019-03;10Y;10,00;4,00;1,05
2019-03;1M;0,08;5,00;1,11
2019-03;2M;0,16;5,00;1,15
2019-03;3M;0,24;5,00;1,16
2019-03;6M;0,49;5,00;1,16
2019-03;9M;0,73;5,00;1,17
2019-03;1Y;1,00;5,00;1,23
2019-03;2Y;2,00;5,00;1,23
2019-03;3Y;3,00;5,00;1,22
2019-03;4Y;4,00;5,00;1,26
2019-03;5Y;5,00;5,00;1,23
2019-03;6Y;6,00;5,00;1,20
2019-03;7Y;7,00;5,00;1,15
2019-03;8Y;8,00;5,00;1,21
2019-03;9Y;9,00;5,00;1,05
2019-03;10Y;10,00;5,00;1,23
2019-03;1M;0,08;6,00;1,07
2019-03;2M;0,16;6,00;1,09
2019-03;3M;0,24;6,00;1,11
2019-03;6M;0,49;6,00;1,18
2019-03;9M;0,73;6,00;1,22
2019-03;1Y;1,00;6,00;1,29
2019-03;2Y;2,00;6,00;1,35
2019-03;3Y;3,00;6,00;1,36
2019-03;4Y;4,00;6,00;1,40
2019-03;5Y;5,00;6,00;1,37
2019-03;6Y;6,00;6,00;1,36
2019-03;7Y;7,00;6,00;1,31
2019-03;8Y;8,00;6,00;1,38
2019-03;9Y;9,00;6,00;1,20
2019-03;10Y;10,00;6,00;1,39
2019-03;1M;0,08;6,50;1,05
2019-03;2M;0,16;6,50;1,09
2019-03;3M;0,24;6,50;1,12
2019-03;6M;0,49;6,50;1,23
2019-03;9M;0,73;6,50;1,29
2019-03;1Y;1,00;6,50;1,38
2019-03;2Y;2,00;6,50;1,46
2019-03;3Y;3,00;6,50;1,46
2019-03;4Y;4,00;6,50;1,50
2019-03;5Y;5,00;6,50;1,46
2019-03;6Y;6,00;6,50;1,45
2019-03;7Y;7,00;6,50;1,39
2019-03;8Y;8,00;6,50;1,46
2019-03;9Y;9,00;6,50;1,28
2019-03;10Y;10,00;6,50;1,46
2019-03;1M;0,08;7,00;1,06
2019-03;2M;0,16;7,00;1,11
2019-03;3M;0,24;7,00;1,16
2019-03;6M;0,49;7,00;1,32
2019-03;9M;0,73;7,00;1,40
2019-03;1Y;1,00;7,00;1,51
2019-03;2Y;2,00;7,00;1,58
2019-03;3Y;3,00;7,00;1,57
2019-03;4Y;4,00;7,00;1,62
2019-03;5Y;5,00;7,00;1,55
2019-03;6Y;6,00;7,00;1,54
2019-03;7Y;7,00;7,00;1,47
2019-03;8Y;8,00;7,00;1,54
2019-03;9Y;9,00;7,00;1,35
2019-03;10Y;10,00;7,00;1,54
2019-03;1M;0,08;7,25;1,08
2019-03;2M;0,16;7,25;1,14
2019-03;3M;0,24;7,25;1,20
2019-03;6M;0,49;7,25;1,38
2019-03;9M;0,73;7,25;1,46
2019-03;1Y;1,00;7,25;1,58
2019-03;2Y;2,00;7,25;1,65
2019-03;3Y;3,00;7,25;1,63
2019-03;4Y;4,00;7,25;1,68
2019-03;5Y;5,00;7,25;1,60
2019-03;6Y;6,00;7,25;1,59
2019-03;7Y;7,00;7,25;1,51
2019-03;8Y;8,00;7,25;1,58
2019-03;9Y;9,00;7,25;1,39
2019-03;10Y;10,00;7,25;1,57
2019-03;1M;0,08;7,50;1,11
2019-03;2M;0,16;7,50;1,18
2019-03;3M;0,24;7,50;1,26
2019-03;6M;0,49;7,50;1,46
2019-03;9M;0,73;7,50;1,54
2019-03;1Y;1,00;7,50;1,65
2019-03;2Y;2,00;7,50;1,72
2019-03;3Y;3,00;7,50;1,69
2019-03;4Y;4,00;7,50;1,73
2019-03;5Y;5,00;7,50;1,65
2019-03;6Y;6,00;7,50;1,63
2019-03;7Y;7,00;7,50;1,55
2019-03;8Y;8,00;7,50;1,62
2019-03;9Y;9,00;7,50;1,42
2019-03;10Y;10,00;7,50;1,60
2019-03;1M;0,08;7,75;1,17
2019-03;2M;0,16;7,75;1,24
2019-03;3M;0,24;7,75;1,32
2019-03;6M;0,49;7,75;1,53
2019-03;9M;0,73;7,75;1,61
2019-03;1Y;1,00;7,75;1,73
2019-03;2Y;2,00;7,75;1,79
2019-03;3Y;3,00;7,75;1,75
2019-03;4Y;4,00;7,75;1,79
2019-03;5Y;5,00;7,75;1,70
2019-03;6Y;6,00;7,75;1,68
2019-03;7Y;7,00;7,75;1,59
2019-03;8Y;8,00;7,75;1,66
2019-03;9Y;9,00;7,75;1,46
2019-03;10Y;10,00;7,75;1,64
2019-03;1M;0,08;8,00;1,25
2019-03;2M;0,16;8,00;1,32
2019-03;3M;0,24;8,00;1,40
2019-03;6M;0,49;8,00;1,61
2019-03;9M;0,73;8,00;1,69
2019-03;1Y;1,00;8,00;1,80
2019-03;2Y;2,00;8,00;1,86
2019-03;3Y;3,00;8,00;1,82
2019-03;4Y;4,00;8,00;1,85
2019-03;5Y;5,00;8,00;1,75
2019-03;6Y;6,00;8,00;1,72
2019-03;7Y;7,00;8,00;1,63
2019-03;8Y;8,00;8,00;1,70
2019-03;9Y;9,00;8,00;1,49
2019-03;10Y;10,00;8,00;1,67
2019-03;1M;0,08;8,25;1,33
2019-03;2M;0,16;8,25;1,40
2019-03;3M;0,24;8,25;1,47
2019-03;6M;0,49;8,25;1,69
2019-03;9M;0,73;8,25;1,77
2019-03;1Y;1,00;8,25;1,88
2019-03;2Y;2,00;8,25;1,93
2019-03;3Y;3,00;8,25;1,88
2019-03;4Y;4,00;8,25;1,90
2019-03;5Y;5,00;8,25;1,80
2019-03;6Y;6,00;8,25;1,77
2019-03;7Y;7,00;8,25;1,67
2019-03;8Y;8,00;8,25;1,74
2019-03;9Y;9,00;8,25;1,53
2019-03;10Y;10,00;8,25;1,71
2019-03;1M;0,08;8,50;1,42
2019-03;2M;0,16;8,50;1,48
2019-03;3M;0,24;8,50;1,56
2019-03;6M;0,49;8,50;1,77
2019-03;9M;0,73;8,50;1,85
2019-03;1Y;1,00;8,50;1,96
2019-03;2Y;2,00;8,50;2,00
2019-03;3Y;3,00;8,50;1,94
2019-03;4Y;4,00;8,50;1,96
2019-03;5Y;5,00;8,50;1,84
2019-03;6Y;6,00;8,50;1,81
2019-03;7Y;7,00;8,50;1,71
2019-03;8Y;8,00;8,50;1,77
2019-03;9Y;9,00;8,50;1,56
2019-03;10Y;10,00;8,50;1,74
2019-03;1M;0,08;8,75;1,51
2019-03;2M;0,16;8,75;1,57
